year,quarter,territorial_authority,TA2020_V_2,region,gmp,no_venues,no_gaming_machines
2015,1/03/2015,Ashburton District,Ashburton District,Canterbury,1483824.32,13,154
2015,1/03/2015,Auckland,Auckland,Auckland,57602458.41,269,3787
2015,1/03/2015,Buller District,Buller District,West Coast,576473.24,9,79
2015,1/03/2015,Carterton District,Carterton District,Wellington,252859.45,4,50
2015,1/03/2015,Central Hawke's Bay District,Central Hawke's Bay District,Hawkes Bay,447642.2,6,58
2015,1/03/2015,Central Otago District,Central Otago District,Otago,876793.16,14,133
2015,1/03/2015,Chatham Islands Territory,Chatham Islands Territory,Canterbury,43414.76,1,2
2015,1/03/2015,Christchurch City,Christchurch City,Canterbury,18634506.82,90,1288
2015,1/03/2015,Clutha District,Clutha District,Otago,505766.6,11,77
2015,1/03/2015,Dunedin City,Dunedin City,Otago,3924742.94,37,448
2015,1/03/2015,Far North District,Far North District,Northland,3125007.4,25,314
2015,1/03/2015,Gisborne District,Gisborne District,Gisborne,2209157.62,14,209
2015,1/03/2015,Gore District,Gore District,Southland,710400.13,7,85
2015,1/03/2015,Grey District,Grey District,West Coast,808370.82,13,108
2015,1/03/2015,Hamilton City,Hamilton City,Waikato,5141848.4,29,448
2015,1/03/2015,Hastings District,Hastings District,Hawkes Bay,3565245.02,20,309
2015,1/03/2015,Hauraki District,Hauraki District,Waikato,1046183.83,9,119
2015,1/03/2015,Horowhenua District,Horowhenua District,Manawatu-Wanganui,1662828.42,12,182
2015,1/03/2015,Hurunui District,Hurunui District,Canterbury,451748.95,10,56
2015,1/03/2015,Invercargill City,Invercargill City,Southland,3436351.36,22,286
2015,1/03/2015,Kaikoura District,Kaikoura District,Canterbury,267006.26,4,48
2015,1/03/2015,Kaipara District,Kaipara District,Northland,619310.33,10,69
2015,1/03/2015,Kapiti Coast District,Kapiti Coast District,Wellington,2021372.6,14,219
2015,1/03/2015,Kawerau District,Kawerau District,Bay of Plenty,496079.46,4,54
2015,1/03/2015,Lower Hutt City,Lower Hutt City,Wellington,5746735.94,33,488
2015,1/03/2015,Mackenzie District,Mackenzie District,Canterbury,235762.14,5,41
2015,1/03/2015,Manawatu District,Manawatu District,Manawatu-Wanganui,650099.46,6,81
2015,1/03/2015,Marlborough District,Marlborough District,Marlborough,2196479.07,20,249
2015,1/03/2015,Masterton District,Masterton District,Wellington,858199.03,5,84
2015,1/03/2015,Matamata-Piako District,Matamata-Piako District,Waikato,1258378.12,14,173
2015,1/03/2015,Napier City,Napier City,Hawkes Bay,3708213.56,18,284
2015,1/03/2015,Nelson City,Nelson City,Nelson,2230735.87,13,198
2015,1/03/2015,New Plymouth District,New Plymouth District,Taranaki,3701932.47,25,322
2015,1/03/2015,Opotiki District,Ōpōtiki District,Bay of Plenty,642662.9,5,69
2015,1/03/2015,Otorohanga District,Ōtorohanga District,Waikato,202682.99,2,23
2015,1/03/2015,Palmerston North City,Palmerston North City,Manawatu-Wanganui,3945464.97,27,358
2015,1/03/2015,Porirua City,Porirua City,Wellington,2539122.52,12,158
2015,1/03/2015,Queenstown-Lakes District,Queenstown-Lakes District,Otago,805845.06,10,95
2015,1/03/2015,Rangitikei District,Rangitikei District,Manawatu-Wanganui,609184.66,8,80
2015,1/03/2015,Rotorua District,Rotorua District,Bay of Plenty,4529971.18,27,393
2015,1/03/2015,Ruapehu District,Ruapehu District,Manawatu-Wanganui,595169.22,7,96
2015,1/03/2015,Selwyn District,Selwyn District,Canterbury,804736.03,10,81
2015,1/03/2015,South Taranaki District,South Taranaki District,Taranaki,1066780.58,10,121
2015,1/03/2015,South Waikato District,South Waikato District,Waikato,1550602.28,12,178
2015,1/03/2015,South Wairarapa District,South Wairarapa District,Wellington,364669.78,6,65
2015,1/03/2015,Southland District,Southland District,Southland,611749.83,20,106
2015,1/03/2015,Stratford District,Stratford District,Taranaki,306410.72,5,49
2015,1/03/2015,Tararua District,Tararua District,Manawatu-Wanganui,881002.64,12,128
2015,1/03/2015,Tasman District,Tasman District,Tasman,1681863.73,16,180
2015,1/03/2015,Taupo District,Taupo District,Waikato,1857535.59,16,201
2015,1/03/2015,Tauranga City,Tauranga City,Bay of Plenty,6933716.7,37,527
2015,1/03/2015,Thames-Coromandel District,Thames-Coromandel District,Waikato,2401632.87,22,261
2015,1/03/2015,Timaru District,Timaru District,Canterbury,2581102.24,24,257
2015,1/03/2015,Upper Hutt City,Upper Hutt City,Wellington,2076073.58,10,148
2015,1/03/2015,Waikato District,Waikato District,Waikato,1967305.11,20,239
2015,1/03/2015,Waimakariri District,Waimakariri District,Canterbury,1725606.57,12,138
2015,1/03/2015,Waimate District,Waimate District,Canterbury,260718.26,6,29
2015,1/03/2015,Waipa District,Waipa District,Waikato,1890716.54,15,226
2015,1/03/2015,Wairoa District,Wairoa District,Hawkes Bay,653554.52,4,58
2015,1/03/2015,Waitaki District,Waitaki District,Canterbury,994293.03,12,117
2015,1/03/2015,Waitomo District,Waitomo District,Waikato,485071.37,6,67
2015,1/03/2015,Wellington City,Wellington City,Wellington,8600009.87,44,679
2015,1/03/2015,Western Bay of Plenty District,Western Bay of Plenty District,Bay of Plenty,1142331.1,15,187
2015,1/03/2015,Westland District,Westland District,West Coast,434086.12,7,62
2015,1/03/2015,Whakatane District,Whakatane District,Bay of Plenty,1973045.68,14,197
2015,1/03/2015,Whanganui District,Whanganui District,Manawatu-Wanganui,2237686.16,16,235
2015,1/03/2015,Whangarei District,Whangarei District,Northland,3366428.09,22,304
2015,1/06/2015,Ashburton District,Ashburton District,Canterbury,1562143.04,12,135
2015,1/06/2015,Auckland,Auckland,Auckland,62682977.43,270,3782
2015,1/06/2015,Buller District,Buller District,West Coast,561460.51,9,79
2015,1/06/2015,Carterton District,Carterton District,Wellington,245921.87,4,50
2015,1/06/2015,Central Hawke's Bay District,Central Hawke's Bay District,Hawkes Bay,458895.94,6,58
2015,1/06/2015,Central Otago District,Central Otago District,Otago,810412.13,13,131
2015,1/06/2015,Chatham Islands Territory,Chatham Islands Territory,Canterbury,42157.33,1,2
2015,1/06/2015,Christchurch City,Christchurch City,Canterbury,19677340.31,91,1342
2015,1/06/2015,Clutha District,Clutha District,Otago,479257.48,11,73
2015,1/06/2015,Dunedin City,Dunedin City,Otago,4131545.3,36,444
2015,1/06/2015,Far North District,Far North District,Northland,3214464.72,25,314
2015,1/06/2015,Gisborne District,Gisborne District,Gisborne,2390226.71,14,209
2015,1/06/2015,Gore District,Gore District,Southland,702728.26,7,85
2015,1/06/2015,Grey District,Grey District,West Coast,824335.47,12,108
2015,1/06/2015,Hamilton City,Hamilton City,Waikato,5712801.2,30,457
2015,1/06/2015,Hastings District,Hastings District,Hawkes Bay,4092399.38,19,300
2015,1/06/2015,Hauraki District,Hauraki District,Waikato,1039045.34,9,119
2015,1/06/2015,Horowhenua District,Horowhenua District,Manawatu-Wanganui,1897271.53,12,182
2015,1/06/2015,Hurunui District,Hurunui District,Canterbury,400069.18,10,61
2015,1/06/2015,Invercargill City,Invercargill City,Southland,3854192.12,21,284
2015,1/06/2015,Kaikoura District,Kaikoura District,Canterbury,261462.17,4,48
2015,1/06/2015,Kaipara District,Kaipara District,Northland,687627.21,10,69
2015,1/06/2015,Kapiti Coast District,Kapiti Coast District,Wellington,2173049.92,14,219
2015,1/06/2015,Kawerau District,Kawerau District,Bay of Plenty,560915.49,4,54
2015,1/06/2015,Lower Hutt City,Lower Hutt City,Wellington,6159552.8,33,488
2015,1/06/2015,Mackenzie District,Mackenzie District,Canterbury,186037.13,5,41
2015,1/06/2015,Manawatu District,Manawatu District,Manawatu-Wanganui,661230.72,6,81
2015,1/06/2015,Marlborough District,Marlborough District,Marlborough,2269194.24,20,249
2015,1/06/2015,Masterton District,Masterton District,Wellington,835183.45,5,84
2015,1/06/2015,Matamata-Piako District,Matamata-Piako District,Waikato,1309849.25,14,171
2015,1/06/2015,Napier City,Napier City,Hawkes Bay,3971805.96,17,274
2015,1/06/2015,Nelson City,Nelson City,Nelson,2317330.66,13,198
2015,1/06/2015,New Plymouth District,New Plymouth District,Taranaki,3918758.81,24,319
2015,1/06/2015,Opotiki District,Ōpōtiki District,Bay of Plenty,697932.19,5,69
2015,1/06/2015,Otorohanga District,Ōtorohanga District,Waikato,208414.59,2,23
2015,1/06/2015,Palmerston North City,Palmerston North City,Manawatu-Wanganui,4346138.24,28,367
2015,1/06/2015,Porirua City,Porirua City,Wellington,2845511.73,12,158
2015,1/06/2015,Queenstown-Lakes District,Queenstown-Lakes District,Otago,750926.95,10,95
2015,1/06/2015,Rangitikei District,Rangitikei District,Manawatu-Wanganui,694393.84,7,70
2015,1/06/2015,Rotorua District,Rotorua District,Bay of Plenty,4882467,27,395
2015,1/06/2015,Ruapehu District,Ruapehu District,Manawatu-Wanganui,613329.46,7,96
2015,1/06/2015,Selwyn District,Selwyn District,Canterbury,849960.25,10,81
2015,1/06/2015,South Taranaki District,South Taranaki District,Taranaki,1201444.14,10,121
2015,1/06/2015,South Waikato District,South Waikato District,Waikato,1718006.78,12,178
2015,1/06/2015,South Wairarapa District,South Wairarapa District,Wellington,364490.94,6,65
2015,1/06/2015,Southland District,Southland District,Southland,614388.6,20,106
2015,1/06/2015,Stratford District,Stratford District,Taranaki,350683.57,5,49
2015,1/06/2015,Tararua District,Tararua District,Manawatu-Wanganui,879121.87,11,110
2015,1/06/2015,Tasman District,Tasman District,Tasman,1627576.61,15,175
2015,1/06/2015,Taupo District,Taupo District,Waikato,1930234.08,16,201
