Year,TA2020_V1_00,TA2020_V_2,Av_Gaming_Machines,GMP
2019,999,Area Outside Territorial Authority,0,0
2019,63,Ashburton District,134,6141336.96
2019,76,Auckland,166,283134387.7
2019,55,Buller District,72,2235480.14
2019,49,Carterton District,45,1943272.07
2019,32,Central Hawke's Bay District,33,2079656.56
2019,69,Central Otago District,112,4057361.69
2019,67,Chatham Islands Territory,2,111976.79
2019,60,Christchurch City,1327,77026366.15
2019,72,Clutha District,71,2253001.35
2019,71,Dunedin City,403,18221968.77
2019,1,Far North District,273,15736285.16
2019,28,Gisborne District,165,11505632.48
2019,74,Gore District,84,3597169.65
2019,56,Grey District,90,3673889.97
2019,16,Hamilton City,418,26174807.68
2019,30,Hastings District,276,18203062.64
2019,12,Hauraki District,119,5274518.79
2019,42,Horowhenua District,152,9452595.73
2019,58,Hurunui District,65,2150345.66
2019,75,Invercargill City,245,16320947.02
2019,54,Kaikoura District,15,261999.29
2019,3,Kaipara District,60,2610548.28
2019,43,Kapiti Coast District,191,9295147.2
2019,26,Kawerau District,46,2663107.81
2019,46,Lower Hutt City,415,29753519.74
2019,65,Mackenzie District,40,895455.12
2019,39,Manawatu District,78,3637106.71
2019,53,Marlborough District,204,11004633.94
2019,48,Masterton District,64,4445135.42
2019,15,Matamata-Piako District,152,6398341.72
2019,31,Napier City,286,20166132.66
2019,52,Nelson City,136,10877200.24
2019,33,New Plymouth District,323,16982448.53
2019,27,Ōpōtiki District,57,2979164.31
2019,18,Ōtorohanga District,23,977122.43
2019,40,Palmerston North City,313,19839023.88
2019,44,Porirua City,165,13866381.89
2019,70,Queenstown-Lakes District,73,3443831.33
2019,38,Rangitikei District,58,2868317.24
2019,24,Rotorua District,383,25289129.65
2019,36,Ruapehu District,89,2679962.2
2019,62,Selwyn District,117,4299861.86
2019,35,South Taranaki District,121,5690675.73
2019,19,South Waikato District,137,7372466.79
2019,50,South Wairarapa District,56,1637214.34
2019,73,Southland District,88,2628271.05
2019,34,Stratford District,29,1513507.14
2019,41,Tararua District,110,3645596.95
2019,51,Tasman District,166,8090449.31
2019,21,Taupo District,151,9424034.74
2019,23,Tauranga City,481,38170859.4
2019,11,Thames-Coromandel District,250,10698400.25
2019,64,Timaru District,164,9775761.51
2019,45,Upper Hutt City,162,10308636.37
2019,13,Waikato District,235,9829251.78
2019,59,Waimakariri District,163,8389172.17
2019,66,Waimate District,18,748675.36
2019,17,Waipa District,228,8636009.28
2019,29,Wairoa District,58,2791575.09
2019,68,Waitaki District,111,3419608.33
2019,20,Waitomo District,60,2639802.97
2019,47,Wellington City,638,40719323.36
2019,22,Western Bay of Plenty District,154,6628521.07
2019,57,Westland District,56,1758576.48
2019,25,Whakatane District,179,11021228.75
2019,37,Whanganui District,208,10735860.45
2019,2,Whangarei District,271,18274040.18
